date,home_team,away_team,actual_scoreline,actual_home_goals,actual_away_goals,odds_1,odds_X,odds_2,1X2_H,actual_1X2_H,1X2_D,actual_1X2_D,1X2_A,actual_1X2_A,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-09-20,Bologna,Genoa,2-1,2,1,1.82,3.3,4.78,0.4001501804570646,1,0.2733905309829927,0,0.3264592885599425,0,0.9131494969781834,1,0.7006263160837981,1,0.6860814627519037,1,0.7186542048436217,1,0.7271296323358869,1,0.6535983633961954,1,0.676472419969885,1,0.6817151537365748,1
2025-09-20,Verona,Juventus,1-1,1,1,6.5,3.85,1.55,0.265498309992274,0,0.3122971966188124,1,0.4222044933889133,0,0.8522787385645509,1,0.5695972594008132,1,0.5452387026296319,1,0.5531774548294934,1,0.5544614156852843,1,0.6432999505386995,1,0.6638926277942108,1,0.668443392702655,1
2025-09-21,Lazio,Roma,0-1,0,1,2.81,3.13,2.58,0.3378826704791323,0,0.2917370484247687,0,0.370380281096099,1,0.8889024272185581,1,0.6445659016560672,0,0.6331509929505246,0,0.6517540836959685,0,0.6557245147779247,0,0.6502076815281129,1,0.6722983579920151,1,0.6773003668565644,1
2025-09-21,Cremonese,Parma,0-0,0,0,2.52,3.13,2.87,0.423872729885147,0,0.2601703184606179,1,0.3159569516542351,0,0.9290420632339608,0,0.7409373033963084,0,0.7077855395313216,0,0.7506644017422024,0,0.763044386839728,0,0.6676304074094699,0,0.6941417365406966,0,0.7005433388149167,0
2025-09-21,Torino,Atalanta,0-3,0,3,3.39,3.28,2.14,0.281382157266571,0,0.2813516481797286,0,0.4372661945537003,1,0.8973436583319905,1,0.6633767903180208,1,0.6073548945240789,0,0.6218043899371706,0,0.6246376469977695,0,0.6856747010337134,1,0.7180934066924636,1,0.7265140181295708,1
2025-09-21,Fiorentina,Como,1-2,1,2,2.59,3.2,2.73,0.3535032615188189,0,0.280732176468183,0,0.365764562012998,1,0.904494661043755,1,0.6799343219179214,1,0.6576478246054193,1,0.6815028785265066,1,0.6870515640685514,1,0.6634426854111525,1,0.688795555278459,1,0.694820845894352,1
2025-09-21,Inter,Sassuolo,2-1,2,1,1.27,5.65,10.36,0.4791374331637305,1,0.236936966290094,0,0.2839256005461756,0,0.9517407419858545,1,0.804909755875179,1,0.7321744776361757,1,0.8008887560069292,1,0.8249662391480411,1,0.6841938749068479,1,0.7160608467313678,1,0.7242860018590201,1
2025-09-22,Napoli,Pisa,3-2,3,2,1.24,5.73,12.86,0.502539721113138,1,0.2500209783964831,0,0.2474393004903789,0,0.929717983874231,1,0.7426056317117031,1,0.7247146274622271,1,0.7813636409476271,1,0.7996499425007142,1,0.6278507383006221,1,0.6455029281039829,1,0.6492039133753706,1
2025-09-27,Cagliari,Inter,0-2,0,2,5.85,4.16,1.54,0.3517242988747019,0,0.2502333331751927,0,0.3980423679501056,1,0.9434061966693208,1,0.7804568927395186,1,0.7000273913281322,0,0.7386588863603929,0,0.7493741593253411,0,0.7135815154348402,1,0.7602579054169251,1,0.7741900708309464,1
2025-09-27,Juventus,Atalanta,1-1,1,1,1.86,3.55,4.16,0.4438415473114611,0,0.2513253396232129,1,0.3048331130653259,0,0.9384496816724716,1,0.7664192180478269,1,0.7197890709018574,1,0.7714298714486403,1,0.7874798322585804,1,0.6746577065860665,1,0.7032760950704986,1,0.7103789302367826,1
2025-09-27,Como,Cremonese,1-1,1,1,1.44,4.41,7.45,0.4822681989194808,0,0.2581008016632803,1,0.2596309994172388,0,0.9227891654334316,1,0.7246058659505275,1,0.7170218677737393,1,0.7663068457650167,1,0.7813394211853963,1,0.6259564448350873,1,0.6432821528670559,1,0.6468918403804594,1
2025-09-28,Sassuolo,Udinese,3-1,3,1,2.27,3.25,3.15,0.2987492950067723,1,0.2948738212097097,0,0.4063768837835181,0,0.8815520638896993,1,0.6286525594124173,1,0.6011273508853051,1,0.6147320239301883,1,0.6173471444154826,1,0.6602020678715553,1,0.6847030608064943,1,0.6904558939476179,1
2025-09-28,Pisa,Fiorentina,0-0,0,0,3.31,3.2,2.24,0.2089517649857918,0,0.3211635290415046,1,0.4698847059727036,0,0.8254576474918712,0,0.5205903384443396,0,0.4654822965058616,0,0.4690535930316293,0,0.4695064334310966,0,0.6452931966706558,0,0.6663053118363433,0,0.6709812078645476,0
2025-09-28,Roma,Verona,2-0,2,0,1.42,4.21,8.09,0.4787834778832708,1,0.294392044223857,0,0.226824477892872,0,0.8673660879317422,1,0.5991540824504149,1,0.6778043380525818,1,0.7074406159169828,1,0.714889808343884,1,0.5271256768844641,0,0.5337791632723655,0,0.5347977169885476,0
2025-09-28,Lecce,Bologna,2-2,2,2,3.94,3.07,2.06,0.2960215556243749,0,0.3226948417512497,1,0.3812836026243753,0,0.8419540169796776,1,0.5502462883193113,1,0.5591684741809061,1,0.5682520343801138,1,0.5697848202811572,1,0.6141132309254205,1,0.6295429271718619,1,0.6326350382996486,1
2025-09-28,Milan,Napoli,2-1,2,1,2.36,3.19,3.08,0.3853846030036058,1,0.2988833520610878,0,0.3157320449353064,0,0.8776466297904081,1,0.6204054663341971,1,0.6470496620514631,1,0.6684398407089411,1,0.6732293393790021,1,0.6081451734921379,1,0.6227057758268256,1,0.6255680666768842,1
2025-09-29,Parma,Torino,2-1,2,1,2.24,3.13,3.35,0.478373000507219,1,0.3014373756025494,0,0.2201896238902317,0,0.8558573544899423,1,0.5764128123944439,1,0.6696274639010822,1,0.6967157852056243,1,0.7033072767230629,1,0.507873509002669,1,0.5133742746430215,1,0.5141685852014884,1
2025-09-29,Genoa,Lazio,0-3,0,3,2.97,3.06,2.5,0.2700840354260296,0,0.305480375349855,0,0.4244355892241154,1,0.8626028889543889,1,0.589691872021554,1,0.5596316860478162,0,0.5687559180717434,0,0.5702977473886596,0,0.6524774104995329,1,0.675088775827746,1,0.6802504287314387,1
2025-10-03,Verona,Sassuolo,0-1,0,1,2.45,3.12,2.99,0.3835860875092378,0,0.2843818138944671,0,0.332032098596295,1,0.8988049138174988,1,0.6667501247601403,0,0.665848209425158,0,0.6918582503368612,0,0.6980962012915137,0,0.6404274849657279,1,0.6604329611541069,1,0.664810159344124,1
2025-10-04,Lazio,Torino,3-3,3,3,1.71,3.56,5.11,0.5063835698624044,0,0.2698366698405088,1,0.2237797602970869,0,0.8986401667045902,1,0.6662220689582156,1,0.7071981615511469,1,0.7497258813651186,1,0.7619653591275798,1,0.5631311803626744,1,0.5725684413294342,1,0.5741803255025568,1
